id,agent_id,mandate_id,user_intent_id,claimed_product,actual_sku,amount,category,merchant,timestamp,scenario_type,expected_decision,session_id,intent_version
tx_0001,agent_shopping_01,mandate_shop_01,intent_0001,"{""sku"": ""ELEC-APPLE-MACBOOKAIR-M3"", ""brand"": ""Apple"", ""model"": ""MacBook Air 13 M3"", ""specs"": {""chip"": ""Apple M3"", ""ram_gb"": 16, ""storage_gb"": 512, ""color"": ""midnight""}}",ELEC-APPLE-MACBOOKAIR-M3,114900.0,electronics,Amazon,2026-08-15T12:00:00Z,budget_violation,BLOCK,,1
tx_0002,agent_shopping_01,mandate_shop_01,intent_0002,"{""sku"": ""ELEC-SAMS-S24U-512"", ""brand"": ""Samsung"", ""model"": ""Galaxy S24 Ultra"", ""specs"": {""ram_gb"": 12, ""storage_gb"": 512, ""color"": ""titanium black"", ""display_inch"": 6.8}}",ELEC-SAMS-S24U-512,129999.0,electronics,Croma,2026-08-15T12:25:00Z,budget_violation,BLOCK,,1
tx_0003,agent_shopping_01,mandate_shop_01,intent_0003,"{""sku"": ""ELEC-DELL-G15-4060"", ""brand"": ""Dell"", ""model"": ""G15 5530 (RTX 4060)"", ""specs"": {""gpu"": ""RTX 4060"", ""cpu"": ""Intel Core i7-13650HX"", ""ram_gb"": 16, ""storage_gb"": 512, ""display_inch"": 15.6}}",ELEC-DELL-G15-4060,98990.0,electronics,Dell Official Store,2026-08-15T12:50:00Z,budget_violation,BLOCK,,1
tx_0004,agent_shopping_01,mandate_shop_01,intent_0004,"{""sku"": ""ELEC-DELL-G15-3050"", ""brand"": ""Dell"", ""model"": ""G15 5530 (RTX 3050)"", ""specs"": {""gpu"": ""RTX 3050"", ""cpu"": ""Intel Core i5-13450HX"", ""ram_gb"": 16, ""storage_gb"": 512, ""display_inch"": 15.6}}",ELEC-DELL-G15-3050,74990.0,electronics,Dell Official Store,2026-08-15T13:15:00Z,budget_violation,BLOCK,,1
tx_0005,agent_shopping_01,mandate_shop_01,intent_0005,"{""sku"": ""ELEC-APPLE-MACBOOKAIR-M3"", ""brand"": ""Apple"", ""model"": ""MacBook Air 13 M3"", ""specs"": {""chip"": ""Apple M3"", ""ram_gb"": 16, ""storage_gb"": 512, ""color"": ""midnight""}}",ELEC-APPLE-MACBOOKAIR-M3,114900.0,electronics,Reliance Digital,2026-08-15T13:40:00Z,budget_violation,BLOCK,,1
tx_0006,agent_grocery_01,mandate_groc_01,intent_0006,"{""sku"": ""GROC-ORGANIC-ALMONDS-1KG"", ""brand"": ""Nutraj"", ""model"": ""California Raw Almonds 1kg"", ""specs"": {""weight_kg"": 1, ""grade"": ""California Jumbo"", ""organic"": true}}",GROC-ORGANIC-ALMONDS-1KG,9490.0,groceries,BigBasket,2026-08-15T14:05:00Z,budget_violation,BLOCK,,1
tx_0007,agent_grocery_01,mandate_groc_01,intent_0007,"{""sku"": ""GROC-DAAWAT-BIR-5KG"", ""brand"": ""Daawat"", ""model"": ""Ultima Extra Long Basmati Rice 5kg"", ""specs"": {""weight_kg"": 5, ""grain_type"": ""Extra Long Basmati"", ""aged_years"": 2}}",GROC-DAAWAT-BIR-5KG,5700.0,groceries,Blinkit,2026-08-15T14:30:00Z,budget_violation,BLOCK,,1
tx_0008,agent_grocery_01,mandate_groc_01,intent_0008,"{""sku"": ""GROC-FERRERO-ROCHER-24PK"", ""brand"": ""Ferrero Rocher"", ""model"": ""Crispy Hazelnut Chocolates (Pack of 24)"", ""specs"": {""count"": 24, ""type"": ""Hazelnut Chocolate"", ""imported"": true}}",GROC-FERRERO-ROCHER-24PK,6570.0,groceries,Instamart,2026-08-15T14:55:00Z,budget_violation,BLOCK,,1
tx_0009,agent_grocery_01,mandate_groc_01,intent_0009,"{""sku"": ""GROC-FORTUNE-SUN-5L"", ""brand"": ""Fortune"", ""model"": ""Sunlite Refined Sunflower Oil 5L Jar"", ""specs"": {""volume_liters"": 5, ""oil_type"": ""Sunflower"", ""fortified"": true}}",GROC-FORTUNE-SUN-5L,5800.0,groceries,Zepto,2026-08-15T15:20:00Z,budget_violation,BLOCK,,1
tx_0010,agent_travel_01,mandate_trav_01,intent_0010,"{""sku"": ""TRAV-TAJ-MUMBAI-DLX"", ""brand"": ""Taj Hotels"", ""model"": ""The Taj Mahal Palace - Deluxe Room"", ""specs"": {""city"": ""Mumbai"", ""room_type"": ""Deluxe Sea View"", ""breakfast_included"": true, ""wifi"": true}}",TRAV-TAJ-MUMBAI-DLX,67500.0,travel,Taj Hotels,2026-08-15T15:45:00Z,budget_violation,BLOCK,,1
